k,distancia,porcentagem_usada_treino,resultado
1,euclidian,0.25,91.20%
1,euclidian,0.5,93.90%
1,euclidian,1,95.00%
1,manhattan,0.25,92.00%
1,manhattan,0.5,94.00%
1,manhattan,1,95.20%
3,euclidian,0.25,93.80%
3,euclidian,0.5,94.50%
3,euclidian,1,96.00%
3,manhattan,0.25,94.90%
3,manhattan,0.5,93.70%
3,manhattan,1,95.40%
5,euclidian,0.25,90.70%
5,euclidian,0.5,94.60%
5,euclidian,1,95.70%
5,manhattan,0.25,92.00%
5,manhattan,0.5,94.90%
5,manhattan,1,95.40%
7,euclidian,0.25,86.30%
7,euclidian,0.5,94.80%
7,euclidian,1,95.80%
7,manhattan,0.25,88.20%
7,manhattan,0.5,94.30%
7,manhattan,1,95.10%
9,euclidian,0.25,86.10%
9,euclidian,0.5,93.20%
9,euclidian,1,95.60%
9,manhattan,0.25,88.50%
9,manhattan,0.5,93.80%
9,manhattan,1,95.40%
11,euclidian,0.25,90.30%
11,euclidian,0.5,94.00%
11,euclidian,1,95.80%
11,manhattan,0.25,84.40%
11,manhattan,0.5,92.70%
11,manhattan,1,95.20%
13,euclidian,0.25,82.10%
13,euclidian,0.5,93.10%
13,euclidian,1,95.70%
13,manhattan,0.25,87.90%
13,manhattan,0.5,94.70%
13,manhattan,1,95.50%
15,euclidian,0.25,83.60%
15,euclidian,0.5,91.30%
15,euclidian,1,95.70%
15,manhattan,0.25,86.90%
15,manhattan,0.5,94.70%
15,manhattan,1,95.60%
17,euclidian,0.25,86.30%
17,euclidian,0.5,89.20%
17,euclidian,1,95.70%
17,manhattan,0.25,84.70%
17,manhattan,0.5,92.80%
17,manhattan,1,95.60%
19,euclidian,0.25,82.50%
19,euclidian,0.5,92.80%
19,euclidian,1,95.70%
19,manhattan,0.25,82.70%
19,manhattan,0.5,92.90%
19,manhattan,1,95.50%
